row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
PA_0067,PA,Hospital Municipal de Eldorado dos Carajás,Eldorado dos Carajás,high,manual,-6.103878799999999,-49.3773517,"-6.105929300358932, -49.34936143017513","Rua Irmã Adelaide Molinare, 115, Eldorado do Carajás - PA, 68524-000, Brazil",ChIJ20s6AQAn3ZIRt4HkAexNmTY,ROOFTOP
PA_0071,PA,Hosp. Municipal de Goianésia,Goianésia,high,manual,-3.841414399999999,-49.10173289999999,"-3.84137721784901, -49.1019882023157","765 - R. Tiradentes, 685, Goianésia do Pará - PA, 68639-000, Brazil",ChIJyQg3HD6ewJIRYOlLLOGEpCs,ROOFTOP
PA_0118,PA,Unidade Mista de Saúde de Piçarras,Piçarras,high,accept_best,-6.4424226,-48.8614969,,"274, - R. João Abreu Rangel, 138, Piçarra - PA, 68575-000, Brazil",ChIJw9dtaSB93JIRjWG6kSdt7kc,ROOFTOP
PA_0054,PA,AME- Assistencia Médica Especializada,Capitão Poço,medium,manual,-1.054395,-46.7671697,"-1.7521351927070103, -47.06342582038933","Av. Nazeazeno Ferreira, 1952 - Centro, Bragança - PA, 68600-000, Brazil",ChIJxVG6w0_ZrpIRCaddGKgYJVA,ROOFTOP
PA_0076,PA,Hospital Santa Clara,Ipixuna,medium,accept_best,-2.5569908,-47.5043893,,"R. Tancredo Neves, 44-104, Ipixuna do Pará - PA, 68637-000, Brazil",ChIJe_t2waMLupIRTCg0R_qqfoM,ROOFTOP
PA_0171,PA,Hospital das Bem Aventuranças,Viseu,medium,manual,-1.1985381,-46.1437422,"-1.1986154683343015, -46.14375538564532","Tv. Costa e Silva - Viseu, PA, 68620-000, Brazil",ChIJJewpMHImrJIRjRqkTNdd2p8,GEOMETRIC_CENTER
PA_0007,PA,Hospital Municipal de Almerim,Almerim,low,manual,-1.5281465,-52.5772966,"-1.528841608033536, -52.58191434112879","Almeirim - State of Pará, 68230-000, Brazil",ChIJPd1CB9zJfY0RyQ7oLyTtXms,APPROXIMATE
PA_0029,PA,Hosp. Munic. de São Joaquim,Baião,low,manual,-2.8661734,-49.6680027,"-2.7966780007393974, -49.66975618813233","São Joaquim - Baião, PA, 68465-000, Brazil",ChIJlw0tPml1vpIRhTRcNKXtq1Y,APPROXIMATE
PA_0055,PA,UPA porte III 24 HORAS Governador Almir Gabriel,Castanhal,low,manual,-1.3653636,-48.30981140000001,"-1.2960217344032845, -47.95032875338581","BR-316 - Almir Gabriel, Marituba - PA, 67105-290, Brazil",ChIJa5gVo6hYpJIRAYa6G59-31c,GEOMETRIC_CENTER
