row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
SC_0019,SC,Hospital Nossa Senhora da Saúde,Coronel Freitas,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-26.9051999,-52.7051681,,"R. Ceará, 434 - Centro, Cel. Freitas - SC, 89840-000",ChIJUT1L3KrS5JQR4nebA6-z4qw,ROOFTOP
SC_0092,SC,Hospital São Lucas,Major Vieira,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-26.366867900000003,-50.335105,,"Pc Hercília Gadotti, 1333 - Centro, Maj. Vieira - SC, 89480-000",ChIJnRRw__FA55QRN-wJ9mABCNM,ROOFTOP
SC_0104,SC,Hospital de Maternidade Maria Auxiliadora,Presidente Getúlio,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-27.0515767,-49.621807499999996,,"R. Padre Adalberto Ortmann, 197 - Centro, Pres. Getúlio - SC, 89150-000",ChIJgdaFvY6035QRPhNsLtoiVfk,ROOFTOP
SC_0139,SC,Hospital Santa Luzia,Ponte Serrada,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-26.868371,-52.020398099999994,,"Av. XV de Novembro, 860 - Pte. Serrada, SC, 89683-000",ChIJT_MaqR1g5JQR0Wj61PmT3wQ,ROOFTOP
