row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
MA_0015,MA,UPA Dr Dilamar Fortes,BALSAS,"places_high:hospital type, muni match, UF in FA, 1.0km from old",accept_best,-7.539554999999999,-46.0475712,,"65800-000 - Bacaba, Balsas - MA, 65800-000",ChIJDbCnTI3v1ZIRqai-EkzQw6o,ROOFTOP
MA_0043,MA,Hospital Municipal Manoel Melo de Matos,CONCEIÇÃO DO LAGO AÇU,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-3.840543,-44.8960686,,"AVENIDA PRINCIPAL, S/N - CENTRO, Conceição do Lago-Açu - MA, 65340-000",ChIJc3M-FY2YigcRpVEN-P68ekE,ROOFTOP
MA_0056,MA,Hospital Municipal Pedro Ferreira Calado,GOV. LUIS ROCHA,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-5.4743018999999995,-44.072033499999996,,"Tv. Juscelino Kubistchek Dois, Gov. Luiz Rocha - MA, 65795-000",ChIJ6_O11Du9iAcR-03Jqwpchxs,ROOFTOP
MA_0102,MA,Hospital e Maternidade José Sarney,PINDARÉ MIRIM,"places_high:hospital type, muni match, UF in FA, 0.2km from old",accept_best,-3.6073225999999994,-45.341359,,"R. do Fio, 237 - Centro, Pindaré-Mirim - MA, 65370-000",ChIJ871BCpycypIRO61zoBJ7Ddg,ROOFTOP
MA_0132,MA,Hospital Amancio Coutinho,SÃO PREDRO DOS CRENTES,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-6.8242864,-46.5322758,,"RUA ANTONIO FELIZMINO, S/N - SETOR TAVARES, São Pedro dos Crentes - MA, 65978-000",ChIJ2SY_vAvI1pIRRv94W2S1gfk,ROOFTOP
MA_0137,MA,Hospital Agostinho dos Santos Jacinto,SÃO VICENTE DE FERRER,"places_high:hospital type, muni match, UF in FA, 0.2km from old",accept_best,-2.8951292,-44.8802776,,"São Vicente Ferrer - MA, 65220-000",ChIJU9CZ4iSN9QcRuesLnS35uzU,ROOFTOP
MA_0140,MA,Hospital Municipal Augusto de Sousa Milhomem,SUCUPIRA DO NORTE,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-6.4883163999999995,-44.188654899999996,,"Sucupira do Norte - MA, 65870-000",ChIJBy-ZePXFhgcRhgij1kQ6d24,ROOFTOP
MA_0150,MA,Hospital Municipal Edir Melo,URBANOS SANTOS,"places_high:hospital type, muni match, UF in FA, 0.3km from old",accept_best,-3.2101089999999997,-43.4019453,,"Urbano Santos - MA, 65530-000",ChIJoeRaCvQJ8wcRTitxRmVZOV8,ROOFTOP
