row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
MA_0020,MA,Hospital Municipal Barjonas Lobão,BARÃO DE GRAJAU,"places_rooftop:hospital type, UF in FA, 2.4km from old",accept_best,-7.540929899999999,-46.048328,,"Avenida 02 Lote 107 Conjunto Habitacional - Bacaba, Balsas - MA, 65800-000",ChIJvSCe7vLv1ZIRKoYod7rfOpw,ROOFTOP
MA_0104,MA,Hosp. Macrorregional de Urgência e Emergência de Presidente Dutra (SOCORRÃO),PRESIDENTE DUTRA,"places_rooftop:hospital type, UF in FA, 0.2km from old",accept_best,-5.2913254,-44.49260220000001,,"R. Cel. Vitórino Lucena, Pres. Dutra - MA, 65760-000",ChIJSZ7H9cpdiAcRofNvXGMOROM,ROOFTOP
MA_0105,MA,Hospial Municipal Carlos Vidal da Silva,PRESIDENTE VARGAS,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-3.4052465,-44.0215087,,"R. São Jorge, Pres. Vargas - MA, 65455-000",ChIJn4hdWQC-9AcRlVoUH78znQU,ROOFTOP
MA_0110,MA,Unidade Mista Onias Santos Pinheiro,PORTO RICO,"places_rooftop:hospital type, UF in FA, 86km away (penalty)",accept_best,-2.5678057,-44.268976699999996,,"R. da Vitória, 318 - Vila Conceição (Coroadinho), São Luís - MA, 65044-430",ChIJ-bvi-2CF9gcRmi-21wNE1gI,ROOFTOP
MA_0138,MA,Hospital Municipal Maria José Machado,SENADOR ALEXANDRE COSTA,"places_rooftop:hospital type, UF in FA, 1.9km from old",accept_best,-5.2722093,-44.0474058,,"PXH3+42, Sen. Alexandre Costa - MA, 65783-000",ChIJF2fbfADDiAcRWyOunQDvjhs,ROOFTOP
