row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
SP_0066,SP,Hospital Dr. Osíris Florindo Coelho,Ferraz de Vasconcellos,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-23.538184599999997,-46.3585281,,"R. Princesa Isabel, 270 - Vila Correa, Ferraz de Vasconcelos - SP, 08502-200",ChIJCZFa3c16zpQR_F7do3EwgyA,ROOFTOP
SP_0093,SP,Maternidade Municipal Zoraide Eva das Dores,Itapecerica Serra,"places_high:hospital type, muni match, UF in FA, 2.5km from old",accept_best,-23.7006555,-46.8479094,,"Av. Guacy Fernandes Domingues, 200 - Embu Mirim, Itapecerica da Serra - SP, 06854-000",ChIJrUnlVNasz5QRSuENPidjP9E,ROOFTOP
SP_0211,SP,Santa Casa de Misericórdia,São Luis do Paraitinga,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-23.2254389,-45.3077057,,"Pc Cel Theodoro Coelho, 48 - Centro, São Luiz do Paraitinga - SP, 12140-000",ChIJo6Rsnuo9zZQRFQxg6EwJYwY,ROOFTOP
