row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
PR_0025,PR,Pronto Atendimento 24 horas São Luiz,Campo do Tenente,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-25.976159,-49.6828704,,"R. Maria Clara Brandão Tesserolli, 89 - Centro, Campo do Ten. - PR, 83870-000",ChIJM2LAr3m93ZQRBGwxC1fqgYM,ROOFTOP
PR_0118,PR,Hospital e Maternidade Nossa Srª de Fátima,Missal,"places_high:hospital type, muni match, UF in FA, 0.2km from old",accept_best,-25.0935609,-54.2475114,,"R. Sete de Setembro, 753 - Centro, Missal - PR, 85890-000",ChIJLwFA1FsF9JQRiHXmSjNrTyM,ROOFTOP
PR_0134,PR,Hospital São João Batista,Paulo de Frontin,"places_high:hospital type, muni match, UF in FA, 0.3km from old",accept_best,-26.0430034,-50.8335084,,"R. Rui Barbosa, 655 - Paulo Frontin, PR, 84635-000",ChIJc9VqW4hQ5pQRZqSDUlbgf4M,ROOFTOP
PR_0140,PR,UPA 24h Armando Neme Filho,Piraquara,"places_high:health type, muni match, UF in FA, 9.6km from old",accept_best,-25.4580934,-49.0997087,,"Rod. Dep. João Leopoldo Jacomel, 3726 - Jardim Esmeralda, Piraquara - PR, 83301-366",ChIJVVZbyMLy3JQR6piypXAeOMg,ROOFTOP
PR_0173,PR,Hospital Dr. Julio Zavala Barrientos,São Jorge do Oeste,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-25.709009899999998,-52.922666,,"Av. Iguaçu, 894 - São Jorge d'Oeste, PR, 85575-000",ChIJ03-T5ls68JQR528bpI9e3KY,ROOFTOP
