row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
MG_0060,MG,Unidade Básica de Saúde Lauro Rocha,Comercinho,"places_high:health type, muni match, UF in FA, 0.1km from old",accept_best,-16.2972997,-41.792025699999996,,"Comercinho - MG, 39628-000",ChIJEzJ4liM3TAcRxFpJpiTQQs0,ROOFTOP
MG_0140,MG,Hospital Margarida,João Molevade,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-19.828962399999998,-43.1438499,,"R. Dr. Geraldo Soares de Sá, S/N - Vila Tanque, João Monlevade - MG, 35930-437",ChIJc2TE6RkHpQARboFWj6ybWpg,ROOFTOP
MG_0259,MG,PSF Maria Ribeiro Figueiredo,São José de Safira,"places_high:hospital type, muni match, UF in FA, 0.0km from old",accept_best,-18.3255813,-42.1480636,,"R. Sra. Aparecida, 145-335, São José da Safira - MG, 39785-000",ChIJtQ1y5bcmsgARnuCEbVAohXQ,ROOFTOP
