row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
BA_0015,BA,Hospital Municipal Santa Rita,Barra,"places_rooftop:hospital type, muni match, UF in FA, 206km away (penalty)",accept_best,-11.0806801,-43.140346699999995,,"Barra - BA, 47100-000",ChIJVVVVeHnVZQcRMsf_BKAIhQM,ROOFTOP
BA_0099,BA,Hospital Municipal Antônio Carlos Magalhães,Inhambupe,"places_rooftop:hospital type, muni match, UF in FA, 132km away (penalty)",accept_best,-11.7914797,-38.3539762,,"152 - Av. Gov. Antônio Carlos Magalhães, 2, Inhambupe - BA, 48490-000",ChIJSQlEhqZJEQcR-EyKu-z6yoA,ROOFTOP
BA_0112,BA,Unidade Mista de Itajú do Colônia,Itajú do Colônia,"places_rooftop:health type, UF in FA, 0.2km from old",accept_best,-15.142038099999999,-39.724231599999996,,"Av. Lomanto Júnior - Itaju do Col., BA, 45730-000",ChIJW0yZWvMZOAcRfZKHXfdDtWE,ROOFTOP
BA_0140,BA,Hospital Municipal Álvaro Fagundes,Lagedo do Tabocal,"places_rooftop:hospital type, UF in FA, 2.5km from old",accept_best,-13.475440899999999,-40.224335599999996,,"RUA ESTADIO DO FAGUNDAO, S/N - ALVOLNDIA, Lajedo do Tabocal - BA, 45365-000",ChIJY5j_rYOOQAcRSFc1sfYrpA8,ROOFTOP
BA_0148,BA,UPA de Macaúbas,Macaúbas,"places_rooftop:hospital type, muni match, UF in FA, 350km away (penalty)",accept_best,-13.0149013,-42.7004643,,"R. Antônio Alfredo Souza Filho, 331 - CENTRO, Macaúbas - BA, 46500-000",ChIJdwMZvw3QXAcRIWG0YFdvNTU,ROOFTOP
BA_0149,BA,Hospital Municipal Dr. Eduardo Ribeiro Bahiana,Madre de Deus,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-12.7376045,-38.60854690000001,,"Av. Milton Bahia Ribeiro, 1900 - Centro, Me. de Deus - BA, 42600-000",ChIJW758b-B0FgcRfxtgqZX91pE,ROOFTOP
BA_0190,BA,Centro de Saúde São João Batista,Presidente Jânio Quadros,"places_rooftop:health type, UF in FA, 0.0km from old",accept_best,-14.684367,-41.679277,,"Av. Antônio Carlos Magalhães, Pres. Jânio Quadros - BA, 46250-000",ChIJWea1WyqSRQcR_21dlpkmVqQ,ROOFTOP
BA_0191,BA,Hospital Maternidade Luis Eduardo Magalhães,Presidente Tancredo Neves,"places_rooftop:hospital type, UF in FA, 1.1km from old",accept_best,-13.4573862,-39.422460099999995,,"Pres. Tancredo Neves - BA, 45416-000",ChIJxyBFTMKpPwcRYdHsTuI4C6M,ROOFTOP
BA_0220,BA,Hospital Dr. Antonio Monteiro,Senhor do Bonfim,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-10.4614765,-40.1832754,,"Hospital Dom Antonio Monteiro - Praça Duque de Caxias, 172 - Centro, Sr. do Bonfim - BA, 48970-000",ChIJ38rcWFRYbQcRsCJ5LghATBg,ROOFTOP
