row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
SP_0070,SP,Santa Casa de General Salgado,General Salgado,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-20.6479699,-50.3580046,,"R. Nadir Garcia, 555 - Jardim Primavera, Gen. Salgado - SP, 15300-000",ChIJKW5FGJO_l5QRhZpcXuA13UU,ROOFTOP
SP_0173,SP,Santa Casa de Presidente Epitácio,Presidente Epitácio,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-21.774024800000003,-52.1112934,,"R. Antônio Venâncio Lopes, 942 - VIla Maria, Pres. Epitácio - SP, 19470-000",ChIJF5vdXCCZkZQR3Xyx6BeKlgk,ROOFTOP
SP_0174,SP,Hosp. Reg. de Presidente Prudente Domingos Leonardo Cerávolo,Presidente Prudente,"places_rooftop:hospital type, UF in FA, 0.3km from old",accept_best,-22.132310399999998,-51.407395,,"R. José Bongiovani, 1297 - Cidade Universitária, Pres. Prudente - SP, 19050-680",ChIJoXLQ50L0k5QR2PFqRxFy-PM,ROOFTOP
SP_0175,SP,Santa Casa Hospital Dr. Aristóteles Oliveira Martins,Presidente Prudente,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-22.1294416,-51.392297899999996,,"R. Wenceslau Braz, 5 - Vila Euclides, Pres. Prudente - SP, 19014-030",ChIJB7tw-E30k5QROjZ__TV5SxQ,ROOFTOP
SP_0176,SP,Santa Casa de Presidente Venceslau,Presidente Venceslau,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-21.8715685,-51.841602699999996,,"Rua Emiliano - R. Antônio Vila Nova, 66 - Centro, Pres. Venceslau - SP, 19400-059",ChIJMR0k-M9kkZQRc-aHDorn-34,ROOFTOP
