row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
MT_0038,MT,Hospital Municipal Bonifácio Ribeiro Vilela,General Carneiro,"places_rooftop:hospital type, UF in FA, 0.3km from old",accept_best,-15.708307099999997,-52.7545481,,"Av. Rachide Mamede, S/N - Centro, Gen. Carneiro - MT, 78620-000",ChIJw3hGCc8DcJMRGFjs-AEmJOM,ROOFTOP
MT_0072,MT,Hospital MunicipalBom Jesus,Ponte Branca,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-16.7675977,-52.8367876,,"R. Pres. Dutra, Pte. Branca - MT, 78610-000",ChIJTS8YFM43e5MRwgkJvmpmzD8,ROOFTOP
MT_0086,MT,Unidade de Pronto Atendimento,Rosário Oeste,"places_rooftop:hospital type, muni match, UF in FA, 98km away (penalty)",accept_best,-14.833823800000001,-56.4290245,,"R. Cel. Antônio Bruno, 860-982 - Rosário Oeste, MT, 78480-000",ChIJCxU9y-LsnpMRqAC3O6TblYY,ROOFTOP
