row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
SE_0004,SE,Hospital Haydde Carvalho Leite Santos,Canindé do São Francisco,"places_high:hospital type, muni match, UF in FA, 0.5km from old",accept_best,-9.6620993,-37.790877099999996,,"R. Manoel Alves Feitosa, 2 - 80, Canindé de São Francisco - SE, 49820-000",ChIJ53QDzh4yDwcRRzLopkcmd1E,ROOFTOP
SE_0010,SE,Hosp. Regional Governador João Alves Filho,Nossa Senhora da Glória,"places_high:hospital type, muni match, UF in FA, 0.1km from old",accept_best,-10.2094915,-37.404962,,"Rodovia Engenheiro Jorge Neto, s/n - Danilo Aragão, Nossa Sra. da Glória - SE, 49680-000",ChIJua-MzOl4DwcRRoY7J2UALD4,ROOFTOP
SE_0011,SE,Pronto Atendimento 24h Fernando Franco,Nossa Senhora do Socorro,"places_high:hospital type, muni match, UF in FA, 3.4km from old",accept_best,-10.8508839,-37.069320499999996,,"Av. José Carlos Magno França, S/N - Marcos Freire II, Nossa Sra. do Socorro - SE, 49156-226",ChIJa0eBzfFMBQcRlln0adVacp4,ROOFTOP
