row_id,candidate_number,candidate_pattern,candidate_query,status,formatted_address,lat,lng,place_id,partial_match,location_type,candidate_score,candidate_reasons
BA_0219,1,unit_muni_state,"Hospital Municipal de Sebastião Laranjeiras (Hosp. Munic. Walter Leão Rocha), Sebastião Laranjeiras, BAHIA, Brasil",OK,"Av. Tiradentes - Sebastião Laranjeiras, BA, 46450-000, Brasil",-14.5710273,-42.94450519999999,ChIJv5QKeuGdWgcR33ZQY6MjZTc,true,GEOMETRIC_CENTER,110,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5
BA_0219,2,unit_muni_uf,"Hospital Municipal de Sebastião Laranjeiras (Hosp. Munic. Walter Leão Rocha), Sebastião Laranjeiras - BA, Brasil",OK,"Av. Tiradentes - Sebastião Laranjeiras, BA, 46450-000, Brasil",-14.5710273,-42.94450519999999,ChIJv5QKeuGdWgcR33ZQY6MjZTc,true,GEOMETRIC_CENTER,110,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5
BA_0219,3,normalized_unit_muni_state,"Hospital Municipal de Sebastião Laranjeiras, Sebastião Laranjeiras, BAHIA, Brasil",OK,"Sebastião Laranjeiras, BA, 46450-000, Brasil",-14.5717942,-42.94027550000001,ChIJLZDEIPudWgcRIGwFkG0hxB0,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
BA_0219,4,addr_muni_state,"Rua Tiradentes, 426 - Centro, Sebastião Laranjeiras, BAHIA, Brasil",OK,"R. Tiradentes, 426 - Catu, BA, 48110-000, Brasil",-12.3523202,-38.3815213,EjBSLiBUaXJhZGVudGVzLCA0MjYgLSBDYXR1LCBCQSwgNDgxMTAtMDAwLCBCcmF6aWwiMRIvChQKEgkXlTUa7Y0WBxGGabFCPAOtXBCqAyoUChIJ5StsjOpBzpQROPHzl7y5s10,true,RANGE_INTERPOLATED,55,in_brazil +50; state_unknown; muni_not_in_fa -30; loc_type=RANGE_INTERPOLATED +25; specific_fa +15; partial+non_rooftop -5
BA_0219,5,unit_addr_muni_state,"Hospital Municipal de Sebastião Laranjeiras (Hosp. Munic. Walter Leão Rocha), Rua Tiradentes, 426 - Centro, Sebastião Laranjeiras, BAHIA, Brasil",OK,"Centro, Campinas - SP, Brasil",-22.9101744,-47.0593274,ChIJhVqSQbfIyJQRWGnHTixUZX8,true,APPROXIMATE,-75,in_brazil +50; state_mismatch(SP!=BA) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
MA_0135,1,unit_muni_state,"Hospital Municipal Rita Frca dos Santos Mãe Rita, SÃO DOMINGOS DO AZEITÃO, MARANHÃO, Brasil",OK,"R. Matagal, São Domingos do Azeitão - MA, 65888-000, Brasil",-6.8116501,-44.64654549999999,ChIJFa9cOADBgAcRujROmqMdRWo,true,GEOMETRIC_CENTER,150,in_brazil +50; state_match(MA) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5
MA_0135,2,unit_muni_uf,"Hospital Municipal Rita Frca dos Santos Mãe Rita, SÃO DOMINGOS DO AZEITÃO - MA, Brasil",OK,"R. Matagal, São Domingos do Azeitão - MA, 65888-000, Brasil",-6.8116501,-44.64654549999999,ChIJFa9cOADBgAcRujROmqMdRWo,true,GEOMETRIC_CENTER,150,in_brazil +50; state_match(MA) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5
MA_0135,3,addr_muni_state,"Rua da Assembleia, Nº 10, Centro, SÃO DOMINGOS DO AZEITÃO, MARANHÃO, Brasil",OK,"Centro, Rio de Janeiro - RJ, Brasil",-22.9012249,-43.1791747,ChIJF3IcFV5_mQARfbkw_ML5_X8,true,APPROXIMATE,-75,in_brazil +50; state_mismatch(RJ!=MA) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
MA_0135,4,unit_addr_muni_state,"Hospital Municipal Rita Frca dos Santos Mãe Rita, Rua da Assembleia, Nº 10, Centro, SÃO DOMINGOS DO AZEITÃO, MARANHÃO, Brasil",OK,"Centro, Rio de Janeiro - RJ, Brasil",-22.9012249,-43.1791747,ChIJF3IcFV5_mQARfbkw_ML5_X8,true,APPROXIMATE,-75,in_brazil +50; state_mismatch(RJ!=MA) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
MT_0043,1,unit_muni_state,"Hospital Municipal Osnir Bortolini, Itiquira, MATO GROSSO, Brasil",OK,"Av. Treze de Maio, 500 - CENTRO, Itiquira - MT, 78790-000, Brasil",-17.2036007,-54.1467109,ChIJH1eGgmFXeZMR_j8KQuIYaQk,false,ROOFTOP,175,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15
