row_id,source_state_abbr,municipality,health_unit_name,old_formatted_address,old_lat,old_lng,old_place_id,old_score,old_review_reasons,best_candidate_pattern,best_candidate_query,best_formatted_address,best_lat,best_lng,best_place_id,best_partial_match,best_location_type,best_candidate_score,best_candidate_reasons,score_delta,repair_outcome
AP_0026,AP,Almerim/Pará,UBSI Kuxaré,"Tiriós, Oriximiná - PA, 68270-000, Brasil",2.2325789,-55.961233,ChIJZWz77pQ7nY0RQ5wY2HgaJsM,-45,,addr_muni_state,"POLO-BASE TIPO I - MISSÃO TIRIYO, Almerim/Pará, AMAPÁ, Brasil","Tiriós, Oriximiná - PA, 68270-000, Brasil",2.2325789,-55.961233,ChIJZWz77pQ7nY0RQ5wY2HgaJsM,true,APPROXIMATE,-45,in_brazil +50; state_mismatch(PA!=AP) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5,0,unchanged_bad
BA_0099,BA,Inhambupe,Hospital Municipal Antônio Carlos Magalhães,"Condomínio Rio São Francisco - Av. Antônio Carlos Magalhães, 1 - Pernambués, Salvador - BA, 40000-000, Brasil",-12.9772427,-38.4713664,ChIJVzDNUSQbFgcRcGIYHdbR6XA,115,,unit_muni_state,"Hospital Municipal Antônio Carlos Magalhães, Inhambupe, BAHIA, Brasil","Inhambupe, BA, 48490-000, Brasil",-11.7868374,-38.3525212,ChIJy-eMD6tJEQcR6Vcn9L7aP6g,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5,-20,unchanged_bad
BA_0112,BA,Itajú do Colônia,Unidade Mista de Itajú do Colônia,"Av. Lomanto Júnior, 365 - Itaju do Col., BA, 45730-000, Brasil",-15.1432285,-39.7254031,Ej9Bdi4gTG9tYW50byBKw7puaW9yLCAzNjUgLSBJdGFqdSBkbyBDb2wuLCBCQSwgNDU3MzAtMDAwLCBCcmF6aWwiMRIvChQKEgln4KVC-xk4BxE9ShSPEdCjQBDtAioUChIJodGEm_sZOAcRUm5UcGoD0h8,55,,addr_muni_state,"Av. Lomanto Júnior, 365 - Centro, Itajú do Colônia, BAHIA, Brasil","Av. Lomanto Júnior, 365 - Itaju do Col., BA, 45730-000, Brasil",-15.143259,-39.7254374,Ej9Bdi4gTG9tYW50byBKw7puaW9yLCAzNjUgLSBJdGFqdSBkbyBDb2wuLCBCQSwgNDU3MzAtMDAwLCBCcmF6aWwiMRIvChQKEgln4KVC-xk4BxE9ShSPEdCjQBDtAioUChIJodGEm_sZOAcRUm5UcGoD0h8,false,RANGE_INTERPOLATED,60,in_brazil +50; state_unknown; muni_not_in_fa -30; loc_type=RANGE_INTERPOLATED +25; specific_fa +15,5,improved_but_still_review
BA_0140,BA,Lagedo do Tabocal,Hospital Municipal Álvaro Fagundes,"R. Basílio Brochini, Lajedo do Tabocal - BA, Brasil",-13.4589901,-40.2396999,ChIJd7UrVSeMQAcRaim5_k4GWgw,60,,addr_muni_state,"Rua Achilles Brochini, s/n - Centro, Lagedo do Tabocal, BAHIA, Brasil","R. Basílio Brochini, Lajedo do Tabocal - BA, Brasil",-13.4589901,-40.2396999,ChIJd7UrVSeMQAcRaim5_k4GWgw,true,GEOMETRIC_CENTER,60,in_brazil +50; state_match(BA) +40; muni_not_in_fa -30; loc_type=GEOMETRIC_CENTER +20; generic_fa -15; partial+non_rooftop -5,0,unchanged_bad
BA_0145,BA,Livramento de Nossa Senhora,Hospital Municipal de Livramento (Hosp. Munic. Dr. Ulysses Celestino da Silva),"Av. Pres. Vargas, 829 - Centro, Livramento de Nossa Sra. - BA, 46140-000, Brasil",-13.6397709,-41.839531,ChIJ42FPTlOHQwcRIOka2Vk1hrQ,115,,unit_muni_state,"Hospital Municipal de Livramento (Hosp. Munic. Dr. Ulysses Celestino da Silva), Livramento de Nossa Senhora, BAHIA, Brasil","Av. Pres. Vargas, 829 - Centro, Livramento de Nossa Sra. - BA, 46140-000, Brasil",-13.6397709,-41.839531,ChIJ42FPTlOHQwcRIOka2Vk1hrQ,true,ROOFTOP,115,in_brazil +50; state_match(BA) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
BA_0148,BA,Macaúbas,UPA de Macaúbas,"Luis Eduardo Magalhães, Luís Eduardo Magalhães - BA, 47850-000, Brasil",-12.0806624,-45.7786578,ChIJVWzoIjZ3SpMRlI7it95wVA8,75,,addr_muni_state,"Av. Via do Acesso, s/n - Luís Eduardo Magalhães, Macaúbas, BAHIA, Brasil","Av. Via do Acesso - Macaúbas, BA, 46500-000, Brasil",-13.015921,-42.6802787,ChIJkwO2g0fQXAcRoU7gei-TECA,true,GEOMETRIC_CENTER,110,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5,35,improved_but_still_review
BA_0149,BA,Madre de Deus,Hospital Municipal Dr. Eduardo Ribeiro Bahiana,"Av. Milton Bahia Ribeiro, 1900 - Centro, Me. de Deus - BA, 42600-000, Brasil",-12.7376045,-38.60854690000001,ChIJW758b-B0FgcRfxtgqZX91pE,115,,unit_muni_state,"Hospital Municipal Dr. Eduardo Ribeiro Bahiana, Madre de Deus, BAHIA, Brasil","Av. Milton Bahia Ribeiro, 1900 - Centro, Me. de Deus - BA, 42600-000, Brasil",-12.7376045,-38.60854690000001,ChIJW758b-B0FgcRfxtgqZX91pE,true,ROOFTOP,115,in_brazil +50; state_match(BA) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
BA_0190,BA,Presidente Jânio Quadros,Centro de Saúde São João Batista,"Av. Antônio Carlos Magalhães, Pres. Jânio Quadros - BA, 46250-000, Brasil",-14.684367,-41.679277,ChIJWea1WyqSRQcR_21dlpkmVqQ,90,,addr_muni_state,"Av. Antônio Carlos Magalhães, s/n - Centro, Presidente Jânio Quadros, BAHIA, Brasil","Av. Antônio Carlos Magalhães, Pres. Jânio Quadros - BA, 46250-000, Brasil",-14.6880791,-41.6803429,ChIJ4ST1HyqSRQcR7_eSnsJCurY,false,GEOMETRIC_CENTER,95,in_brazil +50; state_match(BA) +40; muni_not_in_fa -30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15,5,improved_but_still_review
BA_0204,BA,Santa Luz,Hospital Municipal Petronilho Evangelista dos Santos,"RUA 24 DE OUTUBRO, 191 - Centro, Santaluz - BA, 48880-000, Brasil",-11.2544854,-39.3752039,ChIJdwtQIFsGEwcRmRZIK_NygeU,115,,unit_muni_state,"Hospital Municipal Petronilho Evangelista dos Santos, Santa Luz, BAHIA, Brasil","RUA 24 DE OUTUBRO, 191 - Centro, Santaluz - BA, 48880-000, Brasil",-11.2544854,-39.3752039,ChIJdwtQIFsGEwcRmRZIK_NygeU,false,ROOFTOP,115,in_brazil +50; state_match(BA) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
BA_0205,BA,Santa Teresinha,Hospital Municipal Edite Nogueira Rangel,"R. Alto da Boa Vista, S/N, Santa Terezinha - BA, 44590-000, Brasil",-12.7706906,-39.5266404,ChIJUZQ9HwplFQcRdwPEoRrtcSg,115,,unit_muni_state,"Hospital Municipal Edite Nogueira Rangel, Santa Teresinha, BAHIA, Brasil","R. Alto da Boa Vista, S/N, Santa Terezinha - BA, 44590-000, Brasil",-12.7706906,-39.5266404,ChIJUZQ9HwplFQcRdwPEoRrtcSg,true,ROOFTOP,115,in_brazil +50; state_match(BA) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
