row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode
AC_0011,AC.json,AC,ACRE,Porto Walter,Unidade Mista de Porto Walter,"Rua Mamede Cameli, s/n - Centro",(68) 8422-2372,5661714,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Porto Walter,Unidade Mista de Porto Walter,"Rua Mamede Cameli, s/n - Centro",(68) 8422-2372,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Porto Walter, Rua Mamede Cameli, s/n - Centro, Porto Walter, ACRE, Brasil",,false
AC_0012,AC.json,AC,ACRE,Rio Branco,HUERB - Hosp. de Urgência e Emergência de Rio Branco,"Avenida Nações Unidas, 700 - Bosque",(68) 3223-3080,2001578,Botrópico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ACRE,Rio Branco,HUERB - Hosp. de Urgência e Emergência de Rio Branco,"Avenida Nações Unidas, 700 - Bosque",(68) 3223-3080,"Botrópico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","HUERB - Hosp. de Urgência e Emergência de Rio Branco, Avenida Nações Unidas, 700 - Bosque, Rio Branco, ACRE, Brasil",,false
AC_0013,AC.json,AC,ACRE,Santa Rosa do Purus,Unidade Mista de Santa Rosa do Purus,"Rua Raimundo Fernandes de Moura, s/n - Cidade Nova",(68) 3615-1056,5858208,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Santa Rosa do Purus,Unidade Mista de Santa Rosa do Purus,"Rua Raimundo Fernandes de Moura, s/n - Cidade Nova",(68) 3615-1056,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Santa Rosa do Purus, Rua Raimundo Fernandes de Moura, s/n - Cidade Nova, Santa Rosa do Purus, ACRE, Brasil",,false
AC_0014,AC.json,AC,ACRE,Sena Madureira,Hospital João Câncio Fernandes,"Rua Quintino Bocaiúva, 1054 - Centro",(68) 3612-2271,2000865,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Sena Madureira,Hospital João Câncio Fernandes,"Rua Quintino Bocaiúva, 1054 - Centro",(68) 3612-2271,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital João Câncio Fernandes, Rua Quintino Bocaiúva, 1054 - Centro, Sena Madureira, ACRE, Brasil",,false
AC_0015,AC.json,AC,ACRE,Senador Guiomard,Hospital Dr. Ari Rodrigues,"Avenida Eduardo Assmar, 133 - COHAB",(68) 3232-2667,2000725,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Senador Guiomard,Hospital Dr. Ari Rodrigues,"Avenida Eduardo Assmar, 133 - COHAB",(68) 3232-2667,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Ari Rodrigues, Avenida Eduardo Assmar, 133 - COHAB, Senador Guiomard, ACRE, Brasil",,false
AC_0016,AC.json,AC,ACRE,Tarauacá,Hospital Dr. Sansão Gomes,"Avenida Avelino Leal, 1221 - Copacabana",(68) 99954-9484,2000121,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Tarauacá,Hospital Dr. Sansão Gomes,"Avenida Avelino Leal, 1221 - Copacabana",(68) 99954-9484,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Sansão Gomes, Avenida Avelino Leal, 1221 - Copacabana, Tarauacá, ACRE, Brasil",,false
AC_0017,AC.json,AC,ACRE,Xapuri,Hospital Epaminondas Jácome,"Rua 6 de Agosto, 240 - Centro",(68) 3542-2316,2000393,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Xapuri,Hospital Epaminondas Jácome,"Rua 6 de Agosto, 240 - Centro",(68) 3542-2316,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Epaminondas Jácome, Rua 6 de Agosto, 240 - Centro, Xapuri, ACRE, Brasil",,false
AL_0001,AL.json,AL,ALAGOAS,Arapiraca,Unidade de Emergência Dr. Daniel Houly,"Rod. AL 220, km 05 s/n Arapiraca",(82) 359-2450 e 3529-2488,3015408,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Loxoscélico,,ALAGOAS,Arapiraca,Unidade de Emergência Dr. Daniel Houly,"Rod. AL 220, km 05 s/n Arapiraca",(82) 359-2450 e 3529-2488,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Loxoscélico","Unidade de Emergência Dr. Daniel Houly, Rod. AL 220, km 05 s/n Arapiraca, Arapiraca, ALAGOAS, Brasil",,false
AL_0002,AL.json,AL,ALAGOAS,Delmiro Gouveia,UPA Delmiro Gouveia,"R. Luiz Luna Torres, Delmiro Gouveia",(82) 98114-0105,7641117,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Delmiro Gouveia,UPA Delmiro Gouveia,"R. Luiz Luna Torres, Delmiro Gouveia",(82) 98114-0105,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","UPA Delmiro Gouveia, R. Luiz Luna Torres, Delmiro Gouveia, Delmiro Gouveia, ALAGOAS, Brasil",,false
AL_0003,AL.json,AL,ALAGOAS,Palmeira Dos Índios,UPA Palmeira dos Índios,"R. Bráulio Montenegro, 2311 - Vila Maria",(82) 3421-2309,7481624,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Palmeira Dos Índios,UPA Palmeira dos Índios,"R. Bráulio Montenegro, 2311 - Vila Maria",(82) 3421-2309,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","UPA Palmeira dos Índios, R. Bráulio Montenegro, 2311 - Vila Maria, Palmeira Dos Índios, ALAGOAS, Brasil",,false
AL_0004,AL.json,AL,ALAGOAS,Pão de Açúcar,Unid. Mista Djalma G. dos Anjos,"Rua Padre José Soares Pinto, 850 - Centro",(82) 3624-1128,2719290,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Pão de Açúcar,Unid. Mista Djalma G. dos Anjos,"Rua Padre José Soares Pinto, 850 - Centro",(82) 3624-1128,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Unid. Mista Djalma G. dos Anjos, Rua Padre José Soares Pinto, 850 - Centro, Pão de Açúcar, ALAGOAS, Brasil",,false
AL_0005,AL.json,AL,ALAGOAS,Penedo,Unid. de Emergência Enfermeiro Antônio de Jesus,"Rua Matheus Ferreira, s/n - Santa Luzia",(82) 3551-3355,7097794,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Penedo,Unid. de Emergência Enfermeiro Antônio de Jesus,"Rua Matheus Ferreira, s/n - Santa Luzia",(82) 3551-3355,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Unid. de Emergência Enfermeiro Antônio de Jesus, Rua Matheus Ferreira, s/n - Santa Luzia, Penedo, ALAGOAS, Brasil",,false
AL_0006,AL.json,AL,ALAGOAS,Piranhas,Unid. Senador Afonso Farias de Melo,"Avenida Maceió, s/n - Xingó",(82) 3686-1972/1195,2704544,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Piranhas,Unid. Senador Afonso Farias de Melo,"Avenida Maceió, s/n - Xingó",(82) 3686-1972/1195,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Unid. Senador Afonso Farias de Melo, Avenida Maceió, s/n - Xingó, Piranhas, ALAGOAS, Brasil",,false
