row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode,geocode_status,formatted_address,lat,lng,place_id,partial_match,location_type,result_types,geocode_provider,geocode_attempted_at,original_formatted_address,original_lat,original_lng,original_place_id,original_partial_match,original_location_type,original_review_reasons,repair_applied,repair_source,repair_outcome,final_status,publish_policy
AL_0014,AL.json,AL,ALAGOAS,União dos Palmares,Hospital Regional da Mata,"BR-104 - União dos Palmares, AL, 57800-000",(82) 3281-9300,7753470,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Antiaracnídico,,ALAGOAS,União dos Palmares,Hospital Regional da Mata,"BR-104 - União dos Palmares, AL, 57800-000",(82) 3281-9300,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Antiaracnídico","Hospital Regional da Mata, BR-104 - União dos Palmares, AL, 57800-000, União dos Palmares, ALAGOAS, Brasil",,false,OK,"AL-205 - União dos Palmares, AL, 57800-000, Brasil",-9.1494284,-36.0123444,ChIJD6GdXjspBwcR1jzSQsqOwr4,true,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:50Z,,,,,,,,false,,,retry_queue,publish
AM_0001,AM.json,AM,AMAZONAS,Alvarães,Unidade Mista de Alvarães,"Estrada Alvarães Nogueira, s/n - Centro",(97) 3345-1204/1255,2017768,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,,AMAZONAS,Alvarães,Unidade Mista de Alvarães,"Estrada Alvarães Nogueira, s/n - Centro",(97) 3345-1204/1255,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico, Elapídico","Unidade Mista de Alvarães, Estrada Alvarães Nogueira, s/n - Centro, Alvarães, AMAZONAS, Brasil",,false,OK,"Estr. Alvarães Nogueira, Alvarães - AM, 69475-000, Brasil",-3.2584509,-64.8055938,ChIJDxEzWsEjGpIRyNlaCoa8bkU,true,GEOMETRIC_CENTER,route,google_maps_geocoding_v1,2026-04-19T14:44:51Z,,,,,,,,false,,,retry_queue,publish
AM_0002,AM.json,AM,AMAZONAS,Amaturá,Unidade Mista de Amaturá - Hospital Frei Roberto San Severino,"Rua Antonieta Zao, s/n - Centro",(97) 3463-1128,2016648,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,,AMAZONAS,Amaturá,Unidade Mista de Amaturá - Hospital Frei Roberto San Severino,"Rua Antonieta Zao, s/n - Centro",(97) 3463-1128,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico, Elapídico","Unidade Mista de Amaturá - Hospital Frei Roberto San Severino, Rua Antonieta Zao, s/n - Centro, Amaturá, AMAZONAS, Brasil",,false,OK,"Centro, Amaturá - AM, 69620-000, Brasil",-3.362823,-68.201831,ChIJeTwof_SG9pERFPjAUXezZ-Q,true,APPROXIMATE,political|sublocality|sublocality_level_1,google_maps_geocoding_v1,2026-04-19T14:44:51Z,,,,,,,,false,,,retry_queue,publish
AM_0003,AM.json,AM,AMAZONAS,Anamã,Unidade Mista de Anamã - Hospital Francisco Sales de Moura,"Rua Alvaro Maia, 106 - Centro",(97) 3356-1239,2017679,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,,AMAZONAS,Anamã,Unidade Mista de Anamã - Hospital Francisco Sales de Moura,"Rua Alvaro Maia, 106 - Centro",(97) 3356-1239,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico, Elapídico","Unidade Mista de Anamã - Hospital Francisco Sales de Moura, Rua Alvaro Maia, 106 - Centro, Anamã, AMAZONAS, Brasil",,false,OK,"R. Álvaro Maia, 106, Anamã - AM, 69445-000, Brasil",-3.578063,-61.4058637,EjRSLiDDgWx2YXJvIE1haWEsIDEwNiwgQW5hbcOjIC0gQU0sIDY5NDQ1LTAwMCwgQnJhemlsIjASLgoUChIJR7n_3QjKFJIRAJn-gRpiFokQaioUChIJ7US8Iw_KFJIR1KveJwvGB_Q,true,RANGE_INTERPOLATED,street_address,google_maps_geocoding_v1,2026-04-19T14:44:52Z,,,,,,,,false,,,retry_queue,publish
AM_0004,AM.json,AM,AMAZONAS,Anori,Unidade Hospitalar de Anori - Hospital Darlinda Ribeiro,"Avenida N. Sra. do Perpétuo Socorro, s/n - São Sebastião",(97) 3352-1260,2017379,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,,AMAZONAS,Anori,Unidade Hospitalar de Anori - Hospital Darlinda Ribeiro,"Avenida N. Sra. do Perpétuo Socorro, s/n - São Sebastião",(97) 3352-1260,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico, Elapídico","Unidade Hospitalar de Anori - Hospital Darlinda Ribeiro, Avenida N. Sra. do Perpétuo Socorro, s/n - São Sebastião, Anori, AMAZONAS, Brasil",,false,OK,"Anori, AM, 69440-000, Brasil",-3.7482008,-61.6586696,ChIJqUJMyB7dFJIRWC1WPL1h9xs,true,APPROXIMATE,locality|political,google_maps_geocoding_v1,2026-04-19T14:44:52Z,,,,,,,,false,,,retry_queue,publish
AM_0005,AM.json,AM,AMAZONAS,Apuí,Unidade Mista de Apuí - Hospital Eduardo Braga,"Avenida Engº Talles Monte Razo, s/n - Vila Nova",(97) 3389-1219,2013282,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico|Crotálico,,AMAZONAS,Apuí,Unidade Mista de Apuí - Hospital Eduardo Braga,"Avenida Engº Talles Monte Razo, s/n - Vila Nova",(97) 3389-1219,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico, Elapídico, Crotálico","Unidade Mista de Apuí - Hospital Eduardo Braga, Avenida Engº Talles Monte Razo, s/n - Vila Nova, Apuí, AMAZONAS, Brasil",,false,OK,"Apuí, AM, 69265-000, Brasil",-7.1997226,-59.89162109999999,ChIJrV4esYXNSJIRam0VBqXE0g8,true,APPROXIMATE,locality|political,google_maps_geocoding_v1,2026-04-19T14:44:52Z,,,,,,,,false,,,retry_queue,publish
AM_0006,AM.json,AM,AMAZONAS,Atalaia do Norte,Unidade Mista de Atalaia do Norte - Hospital São Sebastião,"Rua Augusto Luzeiro, s/n - Centro",(97) 3417-1115/1152,2016672,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,,AMAZONAS,Atalaia do Norte,Unidade Mista de Atalaia do Norte - Hospital São Sebastião,"Rua Augusto Luzeiro, s/n - Centro",(97) 3417-1115/1152,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico, Elapídico","Unidade Mista de Atalaia do Norte - Hospital São Sebastião, Rua Augusto Luzeiro, s/n - Centro, Atalaia do Norte, AMAZONAS, Brasil",,false,OK,"Atalaia do Norte, AM, Brasil",-4.3670135,-70.1908196,ChIJ_QM4z9SQ8pERQ245mkniH2s,true,APPROXIMATE,locality|political,google_maps_geocoding_v1,2026-04-19T14:44:52Z,,,,,,,,false,,,retry_queue,publish
AM_0007,AM.json,AM,AMAZONAS,Atalaia do Norte,1º Pelotão Especial de Fronteira - PEF (Exército-8º BIS),Comunidade de Palmeira do Javari,,,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,military border post; municipality inherited (blank in source),AMAZONAS,Atalaia do Norte,1º Pelotão Especial de Fronteira - PEF (Exército-8º BIS),Comunidade de Palmeira do Javari,,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico, Elapídico","1º Pelotão Especial de Fronteira - PEF (Exército-8º BIS), Comunidade de Palmeira do Javari, Atalaia do Norte, AMAZONAS, Brasil",phones empty,false,OK,"Palmeiras do Javari, Atalaia do Norte - AM, 69650-000, Brasil",-5.136478200000001,-72.8117285,ChIJKzdtRRkilZERrZCS0KpJJTs,true,APPROXIMATE,locality|political,google_maps_geocoding_v1,2026-04-19T14:44:53Z,,,,,,,,false,,,retry_queue,publish
AM_0008,AM.json,AM,AMAZONAS,Atalaia do Norte,4º Pelotão Especial de Fronteira - PEF (Exército-8º BIS),Comunidade de Estirão do Equador,,,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,military border post; municipality inherited (blank in source),AMAZONAS,Atalaia do Norte,4º Pelotão Especial de Fronteira - PEF (Exército-8º BIS),Comunidade de Estirão do Equador,,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico, Elapídico","4º Pelotão Especial de Fronteira - PEF (Exército-8º BIS), Comunidade de Estirão do Equador, Atalaia do Norte, AMAZONAS, Brasil",phones empty,false,OK,"Estirão do Equador, Atalaia do Norte - AM, 69650-000, Brasil",-4.5360144,-71.6236404,ChIJ8ULExPy-7JERiq7j1x9cfvo,true,APPROXIMATE,locality|political,google_maps_geocoding_v1,2026-04-19T14:44:53Z,,,,,,,,false,,,retry_queue,publish
AM_0009,AM.json,AM,AMAZONAS,Atalaia do Norte,Polo Base Alto Ituí,Comunidade Vida Nova,,7159277,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source),AMAZONAS,Atalaia do Norte,Polo Base Alto Ituí,Comunidade Vida Nova,,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Polo Base Alto Ituí, Comunidade Vida Nova, Atalaia do Norte, AMAZONAS, Brasil",phones empty,false,OK,"Rio Ituí, Atalaia do Norte - AM, 69650-000, Brasil",-4.998895318703617,-70.6690747364798,ChIJt_GQ_fys8pER1GjuaRcyOng,true,APPROXIMATE,establishment|natural_feature,google_maps_geocoding_v1,2026-04-19T14:44:53Z,,,,,,,,false,,,retry_queue,publish
